id,price,image,created_at
4e9e1908-d6ae-415d-96fa-c27f257c084b,145000,['https://cdn-images.kiotviet.vn/vbeautyls/3404605f5235472b82d53c3526616233.jpeg'],2022-11-02 14:28:52.372480
2eef8462-140e-11ed-9227-039b05c81a00,19000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662741012679.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662741015267.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662741019003.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662741023263.png']",2022-08-04 22:57:47.825544
2eef8460-140e-11ed-9227-039b05c81a00,15000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662740397336.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662740401747.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662740405275.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662740408443.png']",2022-08-04 22:57:47.825544
2ef32def-140e-11ed-9227-039b05c81a00,39000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662744775011.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662744777455.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662744781348.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662744784719.png']",2022-08-04 22:57:47.825544
2eecc543-140e-11ed-9227-039b05c81a00,45000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662611096821.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662611100481.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662611105304.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662611108189.png']",2022-08-04 22:57:47.825544
2ef354fa-140e-11ed-9227-039b05c81a00,485000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662570370403.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662570372475.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662570375498.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662570377792.png']",2022-08-04 22:57:47.825544
2eeee822-140e-11ed-9227-039b05c81a00,15000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662729403334.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662729405206.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662729407167.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662729410502.png']",2022-08-04 22:57:47.825544
2ef3ca23-140e-11ed-9227-039b05c81a00,510000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668223643241.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668223644746.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668223645472.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668223646393.png']",2022-08-04 22:57:47.825544
2ef35507-140e-11ed-9227-039b05c81a00,395000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662807463342.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662807465210.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662807469244.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662807471865.png']",2022-08-04 22:57:47.825544
74d437f2-0125-43e5-96c8-496302ce56a5,495000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668401395687.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668401397377.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668401402258.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1668401404441.png']",2022-11-02 14:40:21.797274
